municipio;Id;Nome;UF
A�ail�ndia - MA;2100055;Açailândia;MA
Abelardo Luz - SC;4200101;Abelardo Luz;SC
Acre�na - GO;5200134;Acreúna;GO
Afonso Cl�udio - ES;3200102;Afonso Cláudio;ES
�gua Boa - MT;5100201;�gua Boa ;MT
�gua Fria de Goi�s - GO;3500303;Aguaí;SP
�gua Santa - RS;3100807;Aguanil;MG
�guas Frias - SC;4300109;Agudo;RS
;3500709;Agudos;SP
;4100301;Agudos do Sul;PR
;2500205;Aguiar;PB
;1700301;Aguiarnópolis;TO
;3101102;Aimorés;MG
;2900603;Aiquara;BA
;2300408;Aiuaba;CE
;3101201;Aiuruoca;MG
;4300208;Ajuricaba;RS
;3101508;Além Paraíba;MG
;3101300;Alagoa;MG
;2500304;Alagoa Grande;PB
;2500403;Alagoa Nova;PB
;2500502;Alagoinha;PB
;2600609;Alagoinha;PE
;2200251;Alagoinha do Piauí;PI
;2900702;Alagoinhas;BA
;3500758;Alambari;SP
;3101409;Albertina;MG
;2100204;Alcântara;MA
;2300507;Alcântaras;CE
;2500536;Alcantil;PB
;5000252;Alcinópolis;MS
;2900801;Alcobaça;BA
;2100303;Aldeias Altas;MA
;4300307;Alecrim;RS
;3200201;Alegre;ES
;4300406;Alegrete;RS
;2200277;Alegrete do Piauí;PI
;4300455;Alegria;RS
;1500404;Alenquer;PA
;5200308;Alexânia;GO
;2400505;Alexandria;RN
Alfenas - MG;3101607;Alfenas;MG
;3200300;Alfredo Chaves;ES
;3500808;Alfredo Marcondes;SP
;3101631;Alfredo Vasconcelos;MG
;4200705;Alfredo Wagner;SC
;2500577;Algodão de Jandaíra;PB
;2500601;Alhandra;PB
;2600708;Aliança;PE
;1700350;Aliança do Tocantins;TO
;2900900;Almadina;BA
;1700400;Almas;TO
Almeirim - PA;1500503;Almeirim;PA
;3101706;Almenara;MG
;2400604;Almino Afonso;RN
;4100400;Almirante Tamandaré;PR
;4300471;Almirante Tamandaré do Sul;RS
;5200506;Aloândia;GO
;3101805;Alpercata;MG
;4300505;Alpestre;RS
;3101904;Alpinópolis;MG
Alta Floresta - MT;5100250;Alta Floresta;MT
;1100015;Alta Floresta D'Oeste;RO
;4100509;Altônia;PR
;3500907;Altair;SP
;1500602;Altamira;PA
;2100402;Altamira do Maranhão;MA
;4100459;Altamira do Paraná;PR
;2300606;Altaneira;CE
;3102001;Alterosa;MG
;3501004;Altinópolis;SP
;2600807;Altinho;PE
Alto Alegre - RR;1400050;Alto Alegre;RR
;3501103;Alto Alegre;SP
;4300554;Alto Alegre;RS
;2100436;Alto Alegre do Maranhão;MA
;2100477;Alto Alegre do Pindaré;MA
;1100379;Alto Alegre dos Parecis;RO
Alto Araguaia - MT;5100300;Alto Araguaia;MT
;4200754;Alto Bela Vista;SC
;5100359;Alto Boa Vista;MT
;3102050;Alto Caparaó;MG
;2400703;Alto do Rodrigues;RN
;4300570;Alto Feliz;RS
Alto Gar�as - MT;5100409;Alto Garças;MT
;5200555;Alto Horizonte;GO
;3153509;Alto Jequitibá;MG
;2200301;Alto Longá;PI
;1100403;Alto Paraíso;RO
;4128625;Alto Paraíso;PR
;5200605;Alto Paraíso de Goiás;GO
;5100508;Alto Paraguai;MT
;4100608;Alto Paraná;PR
Alto Parna�ba - MA;2100501;Alto Parnaíba;MA
Alto Piquiri - PR;4100707;Alto Piquiri;PR
;3102100;Alto Rio Doce;MG
;3200359;Alto Rio Novo;ES
;2300705;Alto Santo;CE
Alto Taquari - MT;5100607;Alto Taquari;MT
Altos - PI;2200400;Altos;PI
Alum�nio - SP;3501152;Alumínio;SP
;1300029;Alvarães;AM
;3102209;Alvarenga;MG
;3102308;Alvinópolis;MG
;3501509;Alvinlândia;SP
Alvorada - TO;1700707;Alvorada;TO
;4300604;Alvorada;RS
;3102407;Alvorada de Minas;MG
;2200459;Alvorada do Gurguéia;PI
;5200803;Alvorada do Norte;GO
;4100806;Alvorada do Sul;PR
;1100346;Alvorada D'Oeste;RO
;2901106;Amélia Rodrigues;BA
;2901155;América Dourada;BA
;3501707;Américo Brasiliense;SP
;3501806;Américo de Campos;SP
;1400027;Amajari;RR
Amamba� - MS;5000609;Amambai;MS
Amparo - SP;1600105;Amapá;AP
;2100550;Amapá do Maranhão;MA
;4100905;Amaporã;PR
;2600906;Amaraji;PE
;4300638;Amaral Ferrador;RS
;5200829;Amaralina;GO
;2200509;Amarante;PI
;2100600;Amarante do Maranhão;MA
;2901007;Amargosa;BA
;1300060;Amaturá;AM
;3501608;Americana;SP
;5200852;Americano do Brasil;GO
;4300646;Ametista do Sul;RS
;2300754;Amontada;CE
;5200902;Amorinópolis;GO
;4101002;Ampére;PR
;2500734;Amparo;PB
;3501905;Amparo;SP
;2800100;Amparo de São Francisco;SE
;3102506;Amparo do Serra;MG
An�polis - GO;5201108;Anápolis;GO
;2700201;Anadia;AL
;2901205;Anagé;BA
;4101051;Anahy;PR
;1500701;Anajás;PA
;2100709;Anajatuba;MA
;3502002;Analândia;SP
;1300086;Anamã;AM
;1701002;Ananás;TO
Ananindeua - PA;1500800;Ananindeua;PA
;1500859;Anapu;PA
Anapurus - MA;2100808;Anapurus;MA
;2200707;Anísio de Abreu;PI
;5000708;Anastácio;MS
;5000807;Anaurilândia;MS
;3200409;Anchieta;ES
;4200804;Anchieta;SC
Andara� - BA;2901304;Andaraí;BA
Andir� - PR;4101101;Andirá;PR
;2901353;Andorinha;BA
;4300661;André da Rocha;RS
;3102605;Andradas;MG
;3502101;Andradina;SP
;3102803;Andrelândia;MG
;5000856;Angélica;MS
;3502200;Angatuba;SP
;3102852;Angelândia;MG
;2601003;Angelim;PE
;4200903;Angelina;SC
;2901403;Angical;BA
;2200608;Angical do Piauí;PI
;1701051;Angico;TO
;2400802;Angicos;RN
;3300100;Angra dos Reis;RJ
;2901502;Anguera;BA
;5201207;Anhanguera;GO
Anhembi - SP;3502309;Anhembi;SP
;3502408;Anhumas;SP
;5201306;Anicuns;GO
;4201000;Anita Garibaldi;SC
;4201109;Anitápolis;SC
;1300102;Anori;AM
;4300703;Anta Gorda;RS
;2200806;Antônio Almeida;PI
;2901700;Antônio Cardoso;BA
;3102902;Antônio Carlos;MG
;4201208;Antônio Carlos;SC
;3103009;Antônio Dias;MG
;2901809;Antônio Gonçalves;BA
Ant�nio Jo�o - MS;5000906;Antônio João;MS
;2400901;Antônio Martins;RN
;4101309;Antônio Olinto;PR
;4300802;Antônio Prado;RS
;3103108;Antônio Prado de Minas;MG
;2901601;Antas;BA
;4101200;Antonina;PR
;2300804;Antonina do Norte;CE
;2500775;Aparecida;PB
;3502507;Aparecida;SP
Aparecida de Goi�nia - GO;5201405;Aparecida de Goiânia;GO
;5201454;Aparecida do Rio Doce;GO
;1701101;Aparecida do Rio Negro;TO
;5001003;Aparecida do Taboado;MS
;3502606;Aparecida d'Oeste;SP
;3300159;Aperibé;RJ
;3502705;Apiaí;SP
;3200508;Apiacá;ES
;5100805;Apiacás;MT
;4201257;Apiúna;SC
;2100832;Apicum-Açu;MA
;2401008;Apodi;RN
;2901908;Aporá;BA
;5201504;Aporé;GO
;1300144;Apuí;AM
;2901957;Apuarema;BA
;4101408;Apucarana;PR
;2300903;Apuiarés;CE
;2800209;Aquidabã;SE
;5001102;Aquidauana;MS
;2301000;Aquiraz;CE
;3103207;Araçaí;MG
;2500809;Araçagi;PB
;3502754;Araçariguama;SP
;2902054;Araças;BA
Ara�atuba - SP;3502804;Araçatuba;SP
;2601052;Araçoiaba;PE
;3502903;Araçoiaba da Serra;SP
;5201603;Araçu;GO
;3103405;Araçuaí;MG
;3103900;Araújos;MG
;2401206;Arês;RN
;4201273;Arabutã;SC
Aracaju - SE;2800308;Aracaju;SE
;2301109;Aracati;CE
;2902005;Aracatu;BA
;2902104;Araci;BA
;3103306;Aracitaba;MG
;2301208;Aracoiaba;CE
;3200607;Aracruz;ES
;5201702;Aragarças;GO
;5201801;Aragoiânia;GO
;1701309;Aragominas;TO
;1702000;Araguaçu;TO
;1702109;Araguaína;TO
Araguacema - TO;1701903;Araguacema;TO
Aragua�na - TO;5101001;Araguaiana;MT
;5101209;Araguainha;MT
;1702158;Araguanã;TO
;2100873;Araguanã;MA
;5202155;Araguapaz;GO
Araguari - MG;3103504;Araguari;MG
;1702208;Araguatins;TO
;2100907;Araioses;MA
;5001243;Aral Moreira;MS
;2902203;Aramari;BA
;4300851;Arambaré;RS
;2100956;Arame;MA
;3503000;Aramina;SP
;3503109;Arandu;SP
;3103603;Arantina;MG
;3503158;Arapeí;SP
;2700300;Arapiraca;AL
;1702307;Arapoema;TO
;3103702;Araponga;MG
Arapongas - PR;4101507;Arapongas;PR
;3103751;Araporã;MG
;4101606;Arapoti;PR
;3103801;Arapuá;MG
;4101655;Arapuã;PR
;5101258;Araputanga;MT
;4201307;Araquari;SC
;2500908;Arara;PB
;4201406;Araranguá;SC
Araraquara - SP;3503208;Araraquara;SP
Araras - SP;3503307;Araras;SP
;2301257;Ararendá;CE
;2101004;Arari;MA
;4300877;Araricá;RS
;2301307;Araripe;CE
;2601102;Araripina;PE
;3300209;Araruama;RJ
;2501005;Araruna;PB
;4101705;Araruna;PR
;2902252;Arataca;BA
;4300901;Aratiba;RS
;2902302;Aratuípe;BA
;2301406;Aratuba;CE
;2800407;Arauá;SE
Arauc�ria - PR;4101804;Araucária;PR
Arax� - MG;3104007;Araxá;MG
;3104106;Arceburgo;MG
;3503356;Arco-Íris;SP
;3104205;Arcos;MG
;2601201;Arcoverde;PE
;3104304;Areado;MG
;3300225;Areal;RJ
;3503406;Arealva;SP
;2501104;Areia;PB
;2401107;Areia Branca;RN
;2800506;Areia Branca;SE
;2501153;Areia de Baraúnas;PB
;3503604;Areiópolis;SP
;2501203;Areial;PB
;3503505;Areias;SP
;5101308;Arenápolis;MT
;5202353;Arenópolis;GO
;3104403;Argirita;MG
;3104452;Aricanduva;MG
;3104502;Arinos;MG
;5101407;Aripuanã;MT
Ariquemes - RO;1100023;Ariquemes;RO
;3503703;Ariranha;SP
;4101853;Ariranha do Ivaí;PR
;3300233;Armação dos Búzios;RJ
;4201505;Armazém;SC
;2301505;Arneiroz;CE
;2200905;Aroazes;PI
;2501302;Aroeiras;PB
;2200954;Aroeiras do Itaim;PI
;2201002;Arraial;PI
;3300258;Arraial do Cabo;RJ
;1702406;Arraias;TO
;4301008;Arroio do Meio;RS
;4301073;Arroio do Padre;RS
;4301057;Arroio do Sal;RS
;4301206;Arroio do Tigre;RS
;4301107;Arroio dos Ratos;RS
Arroio Grande - RS;4301305;Arroio Grande;RS
;4201604;Arroio Trinta;SC
Artur Nogueira - SP;3503802;Artur Nogueira;SP
;5202502;Aruanã;GO
;3503901;Arujá;SP
;4201653;Arvoredo;SC
;4301404;Arvorezinha;RS
;4201703;Ascurra;SC
;3503950;Aspásia;SP
Assa� - PR;4101903;Assaí;PR
;2301604;Assaré;CE
Assis - SP;3504008;Assis;SP
;1200054;Assis Brasil;AC
Assis Chateaubriand - PR;4102000;Assis Chateaubriand;PR
;2501351;Assunção;PB
;2201051;Assunção do Piauí;PI
;3104601;Astolfo Dutra;MG
